cible,sous_domaine,n,taux_reel,taux_predit,erreur_pts
fdsm123,1_residentiel_11_2,136189,0.6737181417001373,0.67858005,0.48619039999359126
fdsm123,1_residentiel_11_1,78001,0.8502070486275817,0.7655146,-8.46924364297057
fdsm123,1_residentiel_12_2,36915,0.4810781525125288,0.47085068,-1.0227476214387299
fdsm123,1_non_residentiel_11_2,37687,0.6176931037227691,0.6227024,0.500931603507393
fdsm123,1_residentiel_12_1,13895,0.691183879093199,0.6748887,-1.629520864871048
fdsm123,1_residentiel_00_1,38915,0.8370808171656173,0.83924973,0.21689129445511268
fdsm123,1_residentiel_00_2,83861,0.7006713490180179,0.6681666,-3.2504771202008342
fdsm123,autres_profils_regroupes,35431,0.36397505009737235,0.56373304,19.975799118909617
fdsm123,1_non_residentiel_12_2,9186,0.40354887872849987,0.43901742,3.5468536318192023
fdsm123,1_non_residentiel_00_2,19705,0.6427810200456737,0.6646385,2.185749924143565
fdsm123,1_non_residentiel_11_1,13137,0.7237573266346959,0.7990312,7.5273871390053815
fdsm124,1_residentiel_11_2,136189,0.8799095374810006,0.88486755,0.49580114615652704
fdsm124,1_residentiel_11_1,78001,0.9536800810246022,0.9474229,-0.6257159367039966
fdsm124,1_residentiel_12_2,36915,0.8384396586753352,0.86118186,2.2742196526385983
fdsm124,1_non_residentiel_11_2,37685,0.8497545442483747,0.85988843,1.0133890161720505
fdsm124,1_residentiel_12_1,13895,0.9298308744152572,0.92515504,-0.4675830813267501
fdsm124,1_residentiel_00_1,38915,0.9540023127328794,0.9313427,-2.265959174746679
fdsm124,1_residentiel_00_2,83861,0.8722767436591503,0.8476502,-2.46265733329174
fdsm124,autres_profils_regroupes,35429,0.7628778684128821,0.8147587,5.188084960088135
fdsm124,1_non_residentiel_12_2,9186,0.787938166775528,0.7778048,-1.0133374848190324
fdsm124,1_non_residentiel_00_2,19704,0.8611956963053187,0.861194,-0.00016817560632986783
fdsm124,1_non_residentiel_11_1,13136,0.850411084043849,0.9034207,5.300960267795274
fdsm125,1_residentiel_11_2,136189,0.42921234460932967,0.41690454,-1.2307805739471878
fdsm125,1_residentiel_11_1,78001,0.7193241112293433,0.6678905,-5.143362212793335
fdsm125,1_residentiel_12_2,36915,0.3390762562643912,0.36162245,2.2546196471509683
fdsm125,1_non_residentiel_11_2,37685,0.43194905134668965,0.39503694,-3.691211554041524
fdsm125,1_residentiel_12_1,13895,0.5929471032745592,0.66460234,7.165523599317147
fdsm125,1_residentiel_00_1,38915,0.7333932930746498,0.6091541,-12.423918788818744
fdsm125,1_residentiel_00_2,83861,0.44795554548598276,0.4712839,2.3328367172708644
fdsm125,autres_profils_regroupes,35427,0.3731617128179072,0.43783087,6.466915256524097
fdsm125,1_non_residentiel_12_2,9184,0.32534843205574915,0.3651888,3.9840375193320066
fdsm125,1_non_residentiel_00_2,19702,0.49406151659729974,0.4082417,-8.581982739213007
fdsm125,1_non_residentiel_11_1,13135,0.6121811952797869,0.633541,2.1359792688657953
