province,cible,n_eff_pct,taux_reel,taux_pondere,erreur_ponderee_pts
Haut-Ogooué,fdsm123,0.6314869394511843,0.6431269522264461,0.56212777,-8.099918323306843
Haut-Ogooué,fdsm124,0.6314869394511843,0.7910552569131677,0.81821644,2.716118614866092
Haut-Ogooué,fdsm125,0.6314869394511843,0.3463890065984624,0.4121945,6.580548383427686
Moyen-Ogooué,fdsm123,0.2811146371277245,0.4958178730897428,0.47636414,-1.9453737347555289
Moyen-Ogooué,fdsm124,0.2811146371277245,0.6642347243624014,0.7678037,10.356900421807346
Moyen-Ogooué,fdsm125,0.2811146371277245,0.29735509639274144,0.3296062,3.225110883224941
Ngounié,fdsm123,0.4011024393078552,0.4757600205361399,0.48461,0.8849970775887062
Ngounié,fdsm124,0.4011024393078552,0.6617401668653159,0.7532671,9.15269425287576
Ngounié,fdsm125,0.4011024393078552,0.18445373528440973,0.34753132,16.307758338014107
Nyanga,fdsm123,0.471015634290241,0.4129318063999246,0.50534785,9.2416041538613
Nyanga,fdsm124,0.471015634290241,0.650940283734741,0.7349624,8.402212003952048
Nyanga,fdsm125,0.471015634290241,0.2636565018617147,0.361796,9.813948979744975
Ogooué-Ivindo,fdsm123,0.27444099460291077,0.5250626051972577,0.5071369,-1.7925723845786723
Ogooué-Ivindo,fdsm124,0.27444099460291077,0.6884519068927296,0.7727778,8.432588889889637
Ogooué-Ivindo,fdsm125,0.27444099460291077,0.1772650765630773,0.34494758,16.768249995974983
Ogooué-Lolo,fdsm123,0.24706488237863053,0.4335676703364726,0.46460792,3.104025388647358
Ogooué-Lolo,fdsm124,0.24706488237863053,0.7552951580809197,0.7720782,1.678305799497748
Ogooué-Lolo,fdsm125,0.24706488237863053,0.16298916648242318,0.32591307,16.292390514996207
Ogooué-Maritime,fdsm123,0.8117114155578901,0.6331696755639632,0.6101732,-2.2996450161131166
Ogooué-Maritime,fdsm124,0.8117114155578901,0.7709955384480798,0.8345633,6.356777646662359
Ogooué-Maritime,fdsm125,0.8117114155578901,0.4311302598197883,0.4789101,4.7779828719335224
Woleu-Ntem,fdsm123,0.3060973688731977,0.4964948920944841,0.48232362,-1.417127535139634
Woleu-Ntem,fdsm124,0.3060973688731977,0.6824959927464663,0.735185,5.268903437603123
Woleu-Ntem,fdsm125,0.3060973688731977,0.26694839785625235,0.3321551,6.520671059559091
