dept_code,n,taux_reel,taux_predit,cible,reseau,erreur_pts
0201,35498,0.6770522282945518,0.557541,fdsm123,eau,-11.951121553057476
0202,29906,0.7205577476091755,0.6398338,fdsm123,eau,-8.072393966392399
0203,5208,0.5122887864823349,0.48423356,fdsm123,eau,-2.805522830438689
0204,1583,0.3638660770688566,0.48600927,fdsm123,eau,12.214319288391746
0205,954,0.20440251572327045,0.34084988,fdsm123,eau,13.644736068053815
0206,1355,0.3505535055350554,0.47461587,fdsm123,eau,12.406236637122515
0207,2354,0.8126593033135089,0.4031066,fdsm123,eau,-40.9552703267351
0208,2784,0.22701149425287356,0.45822015,fdsm123,eau,23.120865979413878
0209,699,0.0844062947067239,0.32762998,fdsm123,eau,24.322368871841647
0210,1611,0.5667287399130975,0.42523175,fdsm123,eau,-14.149698513328179
0211,646,0.16563467492260062,0.24574979,fdsm123,eau,8.01151115735618
0301,22498,0.5509823095386257,0.4996073,fdsm123,eau,-5.137501474072836
0302,9304,0.3624247635425623,0.42013177,fdsm123,eau,5.770700921401422
0401,24243,0.4938745204801386,0.5600543,fdsm123,eau,6.61797817354376
0402,8846,0.5342527696133845,0.36800596,fdsm123,eau,-16.624680843365127
0403,3791,0.5412819836454761,0.37323174,fdsm123,eau,-16.80502448397052
0404,2302,0.2145960034752389,0.37582266,fdsm123,eau,16.122665983195102
0405,4517,0.2590214744299314,0.5434292,fdsm123,eau,28.44077214509585
0406,2750,0.6545454545454545,0.36375803,fdsm123,eau,-29.07874269918962
0407,6430,0.578538102643857,0.5252774,fdsm123,eau,-5.326072646893021
0408,1071,0.0028011204481792717,0.25776118,fdsm123,eau,25.496005995266913
0409,588,0.015306122448979591,0.43636706,fdsm123,eau,42.10609422654522
0501,13096,0.5632254123396457,0.55554664,fdsm123,eau,-0.7678770989853256
0502,2875,0.21982608695652173,0.44905996,fdsm123,eau,22.923387626979665
0503,2414,0.1628003314001657,0.45066974,fdsm123,eau,28.786940426992402
0504,1316,0.12917933130699089,0.36678195,fdsm123,eau,23.760261868995734
0505,398,0.13316582914572864,0.46440724,fdsm123,eau,33.12414062382588
0506,1120,0.12321428571428572,0.38133228,fdsm123,eau,25.811799253736222
0601,14165,0.6263325097070244,0.57724655,fdsm123,eau,-4.908596296172407
0602,4787,0.5435554627115103,0.35278812,fdsm123,eau,-19.076734220331637
0603,3480,0.23045977011494254,0.41351548,fdsm123,eau,18.30557082576313
0604,1927,0.2667358588479502,0.53807765,fdsm123,eau,27.1341793606426
0701,9669,0.5517633674630261,0.5332211,fdsm123,eau,-1.8542241860303954
0702,9288,0.305770887166236,0.43174997,fdsm123,eau,12.597908255460444
0703,1858,0.8503767491926802,0.36413255,fdsm123,eau,-48.624419585367576
0704,1802,0.02830188679245283,0.36555514,fdsm123,eau,33.725325060340595
0801,80854,0.6719766492690529,0.6293019,fdsm123,eau,-4.267474363703383
0802,5616,0.5108618233618234,0.5815509,fdsm123,eau,7.068907280593173
0803,4981,0.14113631800843204,0.3413706,fdsm123,eau,20.023429437445674
0901,30315,0.6012864918357249,0.52929354,fdsm123,eau,-7.199295469583234
0902,16618,0.37657961246840777,0.4247538,fdsm123,eau,4.817417266495405
0903,4098,0.17667154709614447,0.40651786,fdsm123,eau,22.984631617747613
0904,9115,0.5149753154141525,0.47181913,fdsm123,eau,-4.315618284770051
0905,1621,0.47069710055521286,0.44466382,fdsm123,eau,-2.603327790430343
0201,35497,0.8010254387694735,0.82550293,fdsm124,électricité,2.447749330221227
0202,29905,0.8485203143287076,0.84359455,fdsm124,électricité,-0.49257632422817776
0203,5208,0.6674347158218126,0.74307436,fdsm124,électricité,7.563964168780046
