cible,province,n,taux_reel,taux_predit_naif,taux_predit_proba,erreur_naive_pts,erreur_proba_pts,accuracy,auc
fdsm123,Haut-Ogooué,82598,0.6431269522264461,0.5911886486355602,0.56276655,-5.193830359088592,-8.036040025501057,0.7135765999176735,0.7401525090322688
fdsm123,Moyen-Ogooué,31802,0.4958178730897428,0.450977925916609,0.47635594,-4.483994717313378,-1.9461932986211905,0.7864914156342369,0.8468180440004868
fdsm123,Ngounié,54538,0.4757600205361399,0.4514650335545858,0.48549685,-2.429498698155413,0.9736828285500099,0.686952216802963,0.7363647981142167
fdsm123,Nyanga,21219,0.4129318063999246,0.4861680569301098,0.5065749,7.323625053018517,9.364312236060396,0.6849050379376973,0.7429394001922193
fdsm123,Ogooué-Ivindo,24359,0.5250626051972577,0.45831109651463525,0.5066466,-6.675150868262242,-1.8416031653709086,0.722073976764235,0.7873579172887346
fdsm123,Ogooué-Lolo,22617,0.4335676703364726,0.4281734978113808,0.46430108,-0.5394172525091778,3.073340917516987,0.6884644294115047,0.7337364861133243
fdsm123,Ogooué-Maritime,91451,0.6331696755639632,0.6698778580879378,0.610687,3.6708182523974564,-2.24826581231673,0.800472384118271,0.8224694969304509
fdsm123,Woleu-Ntem,61767,0.4964948920944841,0.44816811566046594,0.4823196,-4.8326776434018175,-1.4175298664918679,0.760535561060113,0.8216338744885024
fdsm124,Haut-Ogooué,82596,0.7910552569131677,0.8453314930505109,0.81778455,5.427623613734323,2.672929089261844,0.8508765557654123,0.8713436748092106
fdsm124,Moyen-Ogooué,31799,0.6642347243624014,0.8282335922513286,0.77011126,16.399886788892726,10.587653843590793,0.7509670115412435,0.8602102263451219
fdsm124,Ngounié,54535,0.6617401668653159,0.7847070688548639,0.75614375,12.296690198954796,9.44035818949075,0.7651049784542038,0.8527227920133118
fdsm124,Nyanga,21217,0.650940283734741,0.7412452278833012,0.7375384,9.030494414856015,8.659811357742331,0.7547249846820946,0.8421180438445929
fdsm124,Ogooué-Ivindo,24359,0.6884519068927296,0.8349275421815345,0.7765872,14.647563528880491,8.813528135113636,0.7357855412783776,0.8126775580542814
fdsm124,Ogooué-Lolo,22615,0.7552951580809197,0.8210479770064116,0.77333766,6.57528189254919,1.8042504139081483,0.7978775149237232,0.8001668774476136
fdsm124,Ogooué-Maritime,91448,0.7709955384480798,0.8504723996150818,0.8356392,7.947686116700203,6.464364030481939,0.8518939725308372,0.8947943548915033
fdsm124,Woleu-Ntem,61763,0.6824959927464663,0.7771319398345288,0.74014086,9.463594708806244,5.764486256588109,0.7617181807878504,0.8301525508089065
fdsm125,Haut-Ogooué,82595,0.3463890065984624,0.19440644106786126,0.41185623,-15.198256553060114,6.546722747517652,0.6473031055148617,0.6555320368905146
fdsm125,Moyen-Ogooué,31797,0.29735509639274144,0.12252728244802968,0.33013058,-17.482781394471175,3.277548069466091,0.7183067584992295,0.7607043214230245
fdsm125,Ngounié,54534,0.18445373528440973,0.14093959731543623,0.3491205,-4.351413796897349,16.466676241914254,0.7628451974914732,0.623207715289237
fdsm125,Nyanga,21217,0.2636565018617147,0.09553659801102889,0.3613885,-16.811990385068583,9.773200264344279,0.7298864118395626,0.6613912122403437
fdsm125,Ogooué-Ivindo,24359,0.1772650765630773,0.155260889199064,0.34550276,-2.20041873640133,16.82376874235102,0.7678886653803523,0.7048861898878489
fdsm125,Ogooué-Lolo,22615,0.16298916648242318,0.10148131770948486,0.3272512,-6.150784877293831,16.42620294251696,0.7779792173336281,0.6797725397992505
fdsm125,Ogooué-Maritime,91448,0.4311302598197883,0.34519070947423675,0.47849977,-8.593955034555156,4.7369510344701435,0.6375317120111976,0.6847410617728675
fdsm125,Woleu-Ntem,61761,0.26694839785625235,0.13963504476935282,0.33368537,-12.731335308689953,6.67369704432319,0.7311086284224673,0.666456247979941
