cible,ece_interne_estuaire,ece_externe_autres_provinces
fdsm123,0.0036282295526991123,0.030832028667935538
fdsm124,0.001744193853812628,0.06403408931231956
fdsm125,0.004846992538732472,0.09148937630355561
