cible,province,n,taux_reel,taux_predit_A_estuaire_pur,erreur_A_pts,taux_predit_B_multiprovinces,erreur_B_pts,auc_global_A,auc_global_B
fdsm123,Haut-Ogooué,16519,0.6402929959440644,0.56213796,-7.815503455643014,0.5856223,-5.467068530563668,0.7911535726881689,0.8123006673056858
fdsm123,Moyen-Ogooué,6361,0.48907404496148404,0.47066444,-1.8409603375943273,0.45320046,-3.5873585481198402,0.7911535726881689,0.8123006673056858
fdsm123,Ngounié,10907,0.47877509856055744,0.4855073,0.6732210876240652,0.4868484,0.8073315383686941,0.7911535726881689,0.8123006673056858
fdsm123,Nyanga,4244,0.4184731385485391,0.5069474,8.847425963719086,0.4939663,7.549317266781524,0.7911535726881689,0.8123006673056858
fdsm123,Ogooué-Ivindo,4872,0.5314039408866995,0.5121308,-1.9273143977367235,0.49417922,-3.7224721879207445,0.7911535726881689,0.8123006673056858
fdsm123,Ogooué-Lolo,4523,0.4298032279460535,0.46765345,3.7850225404013615,0.47170505,4.1901821330298405,0.7911535726881689,0.8123006673056858
fdsm123,Ogooué-Maritime,18289,0.6323473125922686,0.6125017,-1.9845631741285952,0.622967,-0.9380307816267641,0.7911535726881689,0.8123006673056858
fdsm123,Woleu-Ntem,12354,0.49449570989153313,0.48390916,-1.0586549992775196,0.45958376,-3.4911950583671802,0.7911535726881689,0.8123006673056858
fdsm124,Haut-Ogooué,16519,0.7884859858344936,0.8156046,2.7118641297922186,0.7938241,0.533809081803327,0.8621089437406786,0.8923692408671323
fdsm124,Moyen-Ogooué,6361,0.6580726300896086,0.76779836,10.972573407283647,0.675798,1.7725368815573295,0.8621089437406786,0.8923692408671323
fdsm124,Ngounié,10905,0.6570380559376433,0.7542868,9.724876971924756,0.695579,3.8540936429147465,0.8621089437406786,0.8923692408671323
fdsm124,Nyanga,4244,0.6533930254476908,0.7381699,8.477688307586872,0.67641795,2.3024921367799878,0.8621089437406786,0.8923692408671323
fdsm124,Ogooué-Ivindo,4872,0.69376026272578,0.7806577,8.689744591908699,0.6901516,-0.3608690498301925,0.8621089437406786,0.8923692408671323
fdsm124,Ogooué-Lolo,4523,0.7565774928145036,0.77368706,1.7109571833170967,0.70238084,-5.419665680452434,0.8621089437406786,0.8923692408671323
fdsm124,Ogooué-Maritime,18287,0.7714223218679936,0.8363839,6.496155731672926,0.80840176,3.6979441571184823,0.8621089437406786,0.8923692408671323
fdsm124,Woleu-Ntem,12352,0.6823996113989638,0.7404875,5.808790452739732,0.6558714,-2.652822010257705,0.8621089437406786,0.8923692408671323
fdsm125,Haut-Ogooué,16519,0.34590471578182697,0.41128102,6.5376303667407045,0.36827973,2.237500953135968,0.6943611984426854,0.7165489069044663
fdsm125,Moyen-Ogooué,6360,0.2861635220125786,0.3254023,3.9238767616403933,0.2759434,-1.0220123536931636,0.6943611984426854,0.7165489069044663
fdsm125,Ngounié,10905,0.18321870701513068,0.3484199,16.520119769373164,0.3045858,12.13671074608825,0.6943611984426854,0.7165489069044663
fdsm125,Nyanga,4244,0.2648444863336475,0.3617057,9.686120428868222,0.30850643,4.366194286175657,0.6943611984426854,0.7165489069044663
fdsm125,Ogooué-Ivindo,4872,0.17610837438423646,0.3493226,17.321421286742673,0.3033688,12.72604324547528,0.6943611984426854,0.7165489069044663
fdsm125,Ogooué-Lolo,4523,0.15520672120274154,0.32846248,17.325576029597674,0.27180755,11.660083018123062,0.6943611984426854,0.7165489069044663
fdsm125,Ogooué-Maritime,18287,0.43178214031825884,0.480334,4.855187338222638,0.43992332,0.8141175922051824,0.6943611984426854,0.7165489069044663
fdsm125,Woleu-Ntem,12351,0.2645939600032386,0.33467156,7.007759694637689,0.28606832,2.1474360271114437,0.6943611984426854,0.7165489069044663
