accuracy,precision,recall,f1,auc,cible,modele,niveau,temps_s,meilleurs_params
0.7547353267504703,0.7706510980591158,0.9053989841303571,0.83260843899149,0.7561750682130282,fdsm123,regression_logistique,reference,34.9,
0.7577039779528436,0.7738037248018091,0.9048618305132768,0.8342167415840399,0.7560615097154884,fdsm123,arbre_decision,reference,21.4,
0.7471277852231559,0.7623666150977826,0.9075416958116774,0.8286436880109194,0.7247532688913527,fdsm123,knn,reference,1195.1,
0.7577576642103547,0.7734175365028804,0.9058003736464172,0.8343906878491003,0.7595344789828307,fdsm123,foret_aleatoire,candidat,629.9,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 5, 'clf__max_depth': 14}"
0.7578511180660221,0.7746235078866589,0.9034245018785619,0.834080851898679,0.7597881169010947,fdsm123,gradient_boosting_xgb,candidat,211.6,"{'clf__n_estimators': 300, 'clf__max_depth': 7, 'clf__learning_rate': 0.03}"
0.9092989684161967,0.9374308911571518,0.9611356897178617,0.9491353057735861,0.899899998425436,fdsm124,regression_logistique,reference,9.8,
0.9122239101559704,0.9480969091493585,0.9524477356440988,0.9502673423266106,0.900586078220657,fdsm124,arbre_decision,reference,14.5,
0.904423402715364,0.9378280410486666,0.9547399824298719,0.9462084493928349,0.8700619969870502,fdsm124,knn,reference,1613.3,
0.9123829824463727,0.9454311063248887,0.9556455892880936,0.9505109066037122,0.9038267584625738,fdsm124,foret_aleatoire,candidat,621.2,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 5, 'clf__max_depth': 14}"
0.9124108200971932,0.9464602017623415,0.9545141453081208,0.9504701122827375,0.9043731912674482,fdsm124,gradient_boosting_xgb,candidat,169.8,"{'clf__n_estimators': 300, 'clf__max_depth': 7, 'clf__learning_rate': 0.03}"
0.6333770125410363,0.6586733178369866,0.5550589029938217,0.6024434104248153,0.6899226230539096,fdsm125,regression_logistique,reference,13.7,
0.6367295077240614,0.6706556314651654,0.5386375826926515,0.5974404287105631,0.694103854848117,fdsm125,arbre_decision,reference,9.2,
0.6178235028603585,0.6183880045695361,0.6172676162663647,0.6178273024811399,0.6658643957255088,fdsm125,knn,reference,755.1,
0.6385608529574933,0.6761910042136248,0.5330432882372808,0.5961443181237489,0.6977697699997321,fdsm125,foret_aleatoire,candidat,629.5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 5, 'clf__max_depth': 14}"
0.6384296164912538,0.6819982073249536,0.519975366032938,0.5900666626087466,0.6980421304894392,fdsm125,gradient_boosting_xgb,candidat,145.6,"{'clf__n_estimators': 300, 'clf__max_depth': 7, 'clf__learning_rate': 0.03}"
