cible,n_profils,couverture,erreur_bayes_approchee
fdsm123,247,0.9944921876553422,0.24165453702074569
fdsm124,247,0.9944921219448178,0.0869186197630292
fdsm125,247,0.9944920452805577,0.3621653180415844
